1.091252	-1.915164	15.822662
0.689942	-2.087482	15.843057
0.310853	-2.138023	15.926325
-0.000809	-2.090132	16.011186
-0.207617	-1.947633	16.095617
-0.303948	-1.685308	16.281323
-0.268846	-1.358653	16.299537
-0.111602	-0.915450	16.424023
0.142079	-0.493530	16.444645
0.454438	0.002676	16.574549
0.776229	0.508790	16.656301
1.034507	0.764054	16.674352
1.194575	0.812216	16.824694
1.235719	0.616862	16.841177
1.176213	0.230239	16.960621
1.051239	-0.232457	17.061900
0.906806	-0.522137	17.088276
0.786806	-0.589428	17.190178
0.725572	-0.472937	17.284144
0.749825	-0.174978	17.367218
0.869874	0.189073	17.449498
1.072932	0.617912	17.610617
1.321274	0.905641	17.631109
1.566287	1.002635	17.747324
1.758651	0.912520	17.840260
1.873284	0.632445	17.930813
1.885074	0.168986	18.020960
1.783668	-0.421953	18.101842
1.577485	-0.901818	18.129494
1.298705	-1.243526	18.236165
0.984348	-1.466199	18.324902
0.653176	-1.641068	18.428116
0.334124	-1.740890	18.510514
0.080640	-1.718152	18.558279
-0.098388	-1.601013	18.700613
-0.176680	-1.434048	18.722195
-0.159669	-1.207407	18.890665
-0.052827	-0.998361	18.909402
0.125376	-0.776785	19.035393
0.336323	-0.615034	19.062582
0.547315	-0.480948	19.180042
0.720007	-0.386988	19.272531
0.817951	-0.351174	19.372898
0.815894	-0.379599	19.459641
0.700242	-0.468722	19.525397
0.480249	-0.606355	19.631160
0.196214	-0.745656	19.652789
-0.106529	-0.877793	19.756508
-0.402323	-1.021173	19.851687
-0.629674	-1.162396	19.930529
-0.743877	-1.232151	20.017336
-0.725850	-1.214606	20.109549
-0.559719	-1.053171	20.202101
-0.248075	-0.708534	20.305922
0.180666	-0.188132	20.371936
0.681577	0.448595	20.472983
1.196256	1.099481	20.539372
1.661300	1.658276	20.620626
2.026109	2.061520	20.697725
2.247737	2.232422	20.780942
2.282810	2.088623	20.863499
2.127080	1.716765	20.951813
1.807298	1.214075	21.036066
1.358294	0.564415	21.128390
0.830800	-0.130573	21.220713
0.290388	-0.735971	21.304690
-0.198171	-1.134758	21.401324
-0.549401	-1.169319	21.426373
-0.713731	-0.945255	21.507903
-0.677257	-0.592468	21.611936
-0.452630	-0.215711	21.702335
-0.068866	0.133107	21.792497
0.424002	0.513961	21.927203
0.993801	0.876049	22.013048
1.581236	1.159596	22.101083
2.070576	1.329665	22.183875
2.391411	1.327367	22.279820
2.537941	1.210942	22.396043
2.484041	1.019395	22.461500
2.243542	0.720534	22.617654
1.860677	0.385457	22.646241
1.396080	0.011939	22.760061
0.916231	-0.400550	22.837384
0.481671	-0.827928	22.911448
0.110418	-1.342236	23.064907
-0.139795	-1.715834	23.091020
-0.254280	-2.048220	23.212651
-0.229333	-2.284612	23.295706
-0.078095	-2.301267	23.378211
0.173983	-2.145895	23.448239
0.510485	-1.802230	23.605549
0.863068	-1.375159	23.635921
1.180586	-0.864530	23.797734
1.395463	-0.416313	23.871087
1.451409	-0.193270	23.957507
1.330871	-0.298849	24.043936
1.046357	-0.728046	24.144004
0.671372	-1.251774	24.224669
0.267675	-1.828518	24.320984
-0.068576	-2.117251	24.393672
-0.291577	-2.181386	24.569355
-0.352395	-1.967121	24.588240
-0.252346	-1.532919	24.751880
-0.020489	-0.986147	24.850323
0.292330	-0.457961	24.927117
